Date,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,TEMP_MOY,HUMIDITY_MAX_PERCENT,HUMIDITY_EST_AVG,WINDSPEED_MAX_KMH,WINDSPEED_AVG_KMH,PRECIP_TOTAL_DAY_MM,SUNHOUR,SR_EST_W_m2,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,Toluène,Benzène,CO,NO2,SO2,O3,PM2.5,PM10,AQI,City
2024-07-10,20,14,17.25,88,66.0,19,11.4,0.7,4,600,1017,73.25,1.4319952173913044,0.4561288260869565,121.29166666666669,11.091666666666669,1.2541666666666669,57.16666666666666,4.170833333333333,7.920833333333333,22.866666541666664,London
2024-07-11,20,12,16.0,79,59.25,10,6.0,0.0,11,1650,1019,44.875,1.0084344761904762,0.3259566666666667,129.70833333333334,12.758333333333333,1.3333333333333333,63.79166666666666,4.625,7.3625,25.516666583333333,London
2024-07-12,18,12,14.5,90,67.5,17,10.2,0.9,4,600,1017,87.5,0.4306529565217391,0.149433652173913,121.875,9.8,1.0291666666666666,54.458333333333336,4.533333333333333,7.675,21.783333166666665,London
2024-07-13,19,12,14.75,78,58.5,9,5.4,0.1,7,1050,1017,68.625,1.1523701666666666,0.3219791666666666,138.20833333333334,14.7375,1.1791666666666667,52.79166666666666,6.65,8.8375,21.224999875,London
2024-07-14,21,12,16.0,82,61.5,11,6.6,0.2,11,1650,1013,41.875,1.503926,0.464174125,148.375,16.258333333333333,1.4625,55.54166666666666,8.237499999999999,10.025,24.010763666666666,London
2024-07-15,22,13,16.0,92,69.0,15,9.0,0.9,7,1050,1013,53.375,1.7045825,0.4740327083333334,159.20833333333334,24.0125,2.095833333333333,51.875,8.979166666666666,11.916666666666666,22.4979165,London
2024-07-16,20,13,15.5,89,66.75,21,12.6,0.9,5,750,1015,77.75,1.809208,0.5201554444444445,142.83333333333334,15.020833333333334,1.1791666666666667,59.91666666666666,4.904166666666667,6.4750000000000005,23.96666666666667,London
2024-07-17,23,13,18.5,81,60.75,8,4.8,0.1,10,1500,1021,40.25,1.63486115,0.4714963684210526,142.33333333333334,18.391666666666666,1.6458333333333333,59.0,8.512500000000001,10.7625,23.818749875,London
2024-07-18,26,15,20.25,70,52.5,13,7.8,0.0,14,2100,1021,40.5,1.4794497450465702,0.5096071954807737,158.375,23.25,2.308333333333333,60.66666666666666,8.975,12.625,26.912153,London
2024-07-19,28,17,22.75,75,56.25,14,8.4,0.0,14,2100,1021,32.875,1.893122,0.5331315833333333,185.70833333333331,24.20833333333333,2.3833333333333333,70.58333333333333,12.2875,16.333333333333332,32.548471875,London
