Date,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,TEMP_MOY,HUMIDITY_MAX_PERCENT,HUMIDITY_EST_AVG,WINDSPEED_MAX_KMH,WINDSPEED_AVG_KMH,PRECIP_TOTAL_DAY_MM,SUNHOUR,SR_EST_W_m2,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,Toluène,Benzène,CO,NO2,SO2,O3,PM2.5,PM10,AQI,City
2024-01-01,10,7,8.0,77,57.75,22,13.2,0.7,1,150,1005,86.5,1.220990125,0.5576756666666667,173.625,16.883333333333333,3.025,54.75,5.029166666666667,8.579166666666667,21.41128445833333,London
2024-01-02,12,9,10.75,94,70.5,41,24.599999999999998,3.3,1,150,992,92.125,0.7982212916666667,0.36271604545454544,147.45833333333334,13.370833333333332,2.2624999999999997,63.208333333333336,4.125,6.5,25.28333320833333,London
2024-01-03,11,10,10.25,75,56.25,28,16.8,0.3,1,150,996,96.875,0.9613622777777778,0.43103400000000003,175.04166666666666,17.875,2.9291666666666667,51.0,5.6125,7.675,21.11083325,London
2024-01-04,8,6,7.25,83,62.25,17,10.2,0.5,3,450,1004,75.125,1.9402557083333336,0.6029373749999999,199.125,29.491666666666664,4.7625,38.041666666666664,7.0,11.658333333333333,21.359652791666665,London
2024-01-05,7,4,5.25,85,63.75,21,12.6,2.9,7,1050,1008,84.75,0.9389336666666667,0.4456024347826087,207.33333333333334,26.400000000000002,4.7625,31.833333333333332,12.6875,14.954166666666666,19.680277625,London
2024-01-06,7,5,5.25,84,63.0,12,7.199999999999999,0.0,3,450,1021,84.875,0.6283941666666667,0.4552450416666667,238.125,29.46666666666667,5.166666666666667,19.0,15.079166666666666,17.570833333333333,32.424306083333335,London
2024-01-07,5,2,3.5,70,52.5,18,10.799999999999999,0.0,6,900,1032,40.75,0.3579215416666666,0.32804691666666663,179.875,12.370833333333332,2.7125,55.75,4.4125000000000005,7.6125,23.850347499999998,London
2024-01-08,4,2,2.5,68,51.0,18,10.799999999999999,0.0,5,750,1033,46.375,0.44829329166666665,0.36618838095238093,183.91666666666666,14.166666666666666,3.0,57.083333333333336,4.241666666666666,7.0249999999999995,22.833333,London
2024-01-09,4,1,2.0,59,44.25,23,13.799999999999999,0.0,8,1200,1032,31.0,0.5250393333333333,0.4173967916666667,199.08333333333334,17.825,3.841666666666667,54.208333333333336,7.395833333333333,11.691666666666668,21.683333416666667,London
2024-01-10,4,1,2.0,63,47.25,18,10.799999999999999,0.0,8,1200,1030,20.875,0.4983662083333333,0.3440942083333334,197.25,20.383333333333333,4.270833333333333,49.625,7.658333333333334,11.616666666666667,19.874999958333333,London
2024-01-11,5,1,2.75,82,61.5,14,8.4,0.0,7,1050,1037,33.375,0.6890157727272727,0.4551542272727273,208.375,24.354166666666668,5.341666666666666,39.375,10.866666666666667,16.270833333333332,20.610763625,London
2024-01-12,7,3,5.25,75,56.25,15,9.0,0.0,6,900,1036,66.125,0.7363023076923079,0.3897665384615385,207.41666666666666,30.02916666666667,6.108333333333333,37.708333333333336,8.341666666666667,15.575000000000001,22.02097225,London
2024-01-13,5,1,3.0,93,69.75,9,5.3999999999999995,0.0,8,1200,1030,32.125,1.6827783333333333,0.7458832916666666,227.25,33.56666666666667,6.958333333333333,26.083333333333332,15.141666666666666,20.820833333333333,24.49319429166667,London
2024-01-14,6,3,4.5,81,60.75,13,7.8,0.0,4,600,1020,79.625,1.1513036666666665,0.5710665416666666,209.16666666666666,27.133333333333336,4.341666666666667,32.25,13.320833333333333,16.070833333333333,31.50694525,London
2024-01-15,2,0,1.0,69,51.75,17,10.2,0.0,8,1200,1017,13.625,1.53932925,0.63332675,204.25,26.795833333333334,5.645833333333333,41.958333333333336,10.3375,13.625,22.898263749999998,London
2024-01-16,3,-1,0.75,63,47.25,9,5.3999999999999995,0.0,9,1350,1016,37.875,2.6443864999999995,1.1007141666666667,279.25,49.6875,11.862499999999999,16.25,18.0625,24.070833333333336,29.01472108333333,London
2024-01-17,3,0,2.0,75,56.25,12,7.199999999999999,0.0,1,150,1000,94.5,2.3328546666666665,0.9463661428571428,296.25,46.25833333333333,15.6625,16.25,21.84583333333333,26.65833333333333,48.594799375,London
2024-01-18,2,-1,0.0,54,40.5,14,8.4,0.0,9,1350,1017,2.5,2.870762428571428,1.1594330952380951,236.20833333333334,38.104166666666664,8.316666666666666,25.916666666666668,14.741666666666667,19.454166666666666,32.91638829166667,London
2024-01-19,2,-1,0.25,75,56.25,9,5.3999999999999995,0.0,9,1350,1026,10.75,3.145019416666667,1.380444625,262.7083333333333,43.60833333333333,8.983333333333333,20.916666666666668,15.733333333333334,21.295833333333334,29.597430625,London
